Tempo; Valor
0;191,6091586
0,00098035;191,3717004
0,0019607;193,8862274
0,00294105;198,0206157
0,0039214;201,6554329
0,00490175;202,6344706
0,0058821;199,9715724
0,00686245;194,3364086
0,0078428;187,4154966
0,00882315;180,8256861
0,0098035;175,5313279
0,01078385;171,9979403
0,0117642;170,5273277
0,01274455;171,1747715
0,0137249;173,3137816
0,01470525;175,4816679
0,0156856;175,9015487
0,01666595;173,354677
0,0176463;167,8341345
0,01862665;160,6920533
0,019607;154,1045282
0,02058735;149,8973705
0,0215677;148,4763625
0,02254805;148,7497499
0,0235284;148,9870441
0,02450875;147,7761767
0,0254891;144,4673676
0,02646945;139,1430719
0,0274498;132,4827198
0,02843015;125,6468029
0,0294105;119,9232726
0,03039085;116,0921233
0,0313712;113,9706234
0,03235155;112,5256713
0,0333319;110,4363328
0,03431225;106,7227685
0,0352926;101,1428959
0,03627295;94,2615025
0,0372533;87,17422628
0,03823365;80,91285775
0,039214;75,8437092
0,04019435;71,55910873
0,0411747;67,34014065
0,04215505;62,70055415
0,0431354;57,60315455
0,04411575;52,40048989
0,0450961;47,64038073
0,04607645;43,71175861
0,0470568;40,43666811
0,04803715;36,98992046
0,0490175;32,37183596
0,04999785;26,12529298
0,0509782;18,70468799
0,05195855;11,153099
0,0529389;4,317235285
0,05391925;-1,717647551
0,0548996;-7,475258659
0,05587995;-13,43927825
0,0568603;-19,57943779
0,05784065;-25,44414628
0,058821;-30,60809563
0,05980135;-35,04046435
0,0607817;-39,18815622
0,06176205;-43,75868568
0,0627424;-49,26359078
0,06372275;-55,56138865
0,0647031;-61,77740596
0,06568345;-66,81270191
0,0666638;-70,14391377
0,06764415;-72,24606777
0,0686245;-74,31185409
0,06960485;-77,55987362
0,0705852;-82,60032387
0,07156555;-89,1757759
0,0725459;-96,38047256
0,07352625;-103,2106673
0,0745066;-109,1319825
0,07548695;-114,3328515
0,0764673;-119,4958017
0,07744765;-125,2371137
0,078428;-131,6005902
0,07940835;-137,9462297
0,0803887;-143,2998724
0,08136905;-146,9608825
0,0823494;-149,0307823
0,08332975;-150,4894685
0,0843101;-152,6735518
0,08529045;-156,4977053
0,0862708;-161,9837168
0,08725115;-168,3844894
0,0882315;-174,736511
0,08921185;-180,4231237
0,0901922;-185,4313005
0,09117255;-190,2385875
0,0921529;-195,4439098
0,09313325;-201,3629863
0,0941136;-207,8111235
0,09509395;-214,1649606
0,0960743;-219,6525348
0,09705465;-223,714909
0,098035;-226,2448158
0,09901535;-227,6115786
0,0999957;-228,5082445
0,10097605;-229,6939591
0,1019564;-231,7562023
0,10293675;-235,0332544
0,1039171;-239,6714287
0,10489745;-245,6535685
0,1058778;-252,7274628
0,10685815;-260,3185747
0,1078385;-267,5835853
0,10881885;-273,6937151
0,1097992;-278,2126735
0,11077955;-281,3121592
0,1117599;-283,7042426
0,11274025;-286,3158974
0,1137206;-289,8096458
0,11470095;-294,2166285
0,1156813;-298,9978837
0,11666165;-303,5125249
0,117642;-307,4569539
0,11862235;-310,9121554
0,1196027;-314,1047355
0,12058305;-317,2003108
0,1215634;-320,2568653
0,12254375;-323,2852196
0,1235241;-326,3325749
0,12450445;-329,5166036
0,1254848;-332,9780198
0,12646515;-336,751055
0,1274455;-340,6090973
0,12842585;-344,0682854
0,1294062;-346,6630292
0,13038655;-348,2834691
0,1313669;-349,2726017
0,13234725;-350,2555319
0,1333276;-351,858022
0,13430795;-354,4509826
0,1352883;-358,0491928
0,13626865;-362,3987479
0,137249;-367,0958009
0,13822935;-371,6457092
0,1392097;-375,5897115
0,14019005;-378,7183528
0,1411704;-381,1720416
0,14215075;-383,3141527
0,1431311;-385,4194345
0,14411145;-387,3528265
0,1450918;-388,6081028
0,14607215;-388,8290693
0,1470525;-388,2790244
0,14803285;-387,7169731
0,1490132;-387,8668526
0,14999355;-389,0097557
0,1509739;-390,9197433
0,15195425;-393,0744784
0,1529346;-394,9907488
0,15391495;-396,4763966
0,1548953;-397,6432667
0,15587565;-398,7000866
0,156856;-399,6743256
0,15783635;-400,2810821
0,1588167;-400,0980707
0,15979705;-398,9217449
0,1607774;-396,9704358
0,16175775;-394,7929169
0,1627381;-393,049653
0,16371845;-392,3317037
0,1646988;-392,998895
0,16567915;-395,0094838
0,1666595;-397,8395988
0,16763985;-400,5806795
0,1686202;-402,1789041
0,16960055;-401,7493595
0,1705809;-398,9088075
0,17156125;-394,0101322
0,1725416;-388,1493038
0,17352195;-382,8965909
0,1745023;-379,8044972
0,17548265;-379,8766665
0,176463;-383,2001038
0,17744335;-388,8094067
0,1784237;-394,8873147
0,17940405;-399,4600736
0,1803844;-401,3607209
0,18136475;-400,8071816
0,1823451;-399,1506684
0,18332545;-397,9884368
0,1843058;-398,2558564
0,18528615;-399,8335601
0,1862665;-401,7957532
0,18724685;-403,0381573
0,1882272;-402,8677039
0,18920755;-401,2412366
0,1901879;-398,6371159
0,19116825;-395,7776138
0,1921486;-393,394315
0,19312895;-392,0648086
0,1941093;-392,0516049
0,19508965;-393,1518542
0,19607;-394,7128574
0,19705035;-395,8937546
0,1980307;-396,0358071
0,19901105;-394,9667142
0,1999914;-393,1073792
0,20097175;-391,2702075
0,2019521;-390,2327275
0,20293245;-390,3585408
0,2039128;-391,434776
0,20489315;-392,7597931
0,2058735;-393,4895713
0,20685385;-393,0824827
0,2078342;-391,5255873
0,20881455;-389,2194057
0,2097949;-386,6815744
0,21077525;-384,2689553
0,2117556;-382,0633482
0,21273595;-379,9974424
0,2137163;-378,0696892
0,21469665;-376,3542121
0,215677;-374,8035753
0,21665735;-373,1843616
0,2176377;-371,3117329
0,21861805;-369,3170382
0,2195984;-367,6072276
0,22057875;-366,515524
0,2215591;-365,9773457
0,22253945;-365,5354497
0,2235198;-364,6450533
0,22450015;-363,0188076
0,2254805;-360,8011545
0,22646085;-358,4719496
0,2274412;-356,4988325
0,22842155;-354,9865029
0,2294019;-353,6368134
0,23038225;-352,0151619
0,2313626;-349,8079359
0,23234295;-346,8689536
0,2333233;-343,1683941
0,23430365;-338,8232708
0,235284;-334,195848
0,23626435;-329,8866189
0,2372447;-326,4965518
0,23822505;-324,2829069
0,2392054;-323,0208804
0,24018575;-322,2097601
0,2411661;-321,4101199
0,24214645;-320,4219895
0,2431268;-319,2331203
0,24410715;-317,852306
0,2450875;-316,1943925
0,24606785;-314,1385178
0,2470482;-311,6994084
0,24802855;-309,0960817
0,2490089;-306,6054977
0,24998925;-304,3244186
0,2509696;-302,0517101
0,25194995;-299,386461
